order_id,customer_id,customer_location,customer_region,product_sku,product_name,quantity,order_value,customer_tier,order_date,promised_delivery_date
ORD-1001,CUST-0001,Cagayan de Oro,Mindanao,SKU-HEADSET-004,Wireless Headset,1,4818,Bronze,2026-07-03,2026-07-05
ORD-1002,CUST-0002,Pasig City,Metro Manila,SKU-LAPTOP-001,Laptop Pro 14,1,46930,Platinum,2026-06-30,2026-07-01
ORD-1003,CUST-0003,Tacloban City,Visayas,SKU-TABLET-003,Tablet Air,4,85404,Platinum,2026-07-02,2026-07-04
ORD-1004,CUST-0004,San Fernando,Luzon,SKU-SSD-012,External SSD,1,10016,Platinum,2026-06-29,2026-07-02
ORD-1005,CUST-0005,Taguig City,Metro Manila,SKU-TABLET-003,Tablet Air,1,22629,Platinum,2026-07-01,2026-07-03
ORD-1006,CUST-0006,Cagayan de Oro,Mindanao,SKU-HEADSET-004,Wireless Headset,2,9612,Platinum,2026-07-06,2026-07-08
ORD-1007,CUST-0007,Makati City,Metro Manila,SKU-PHONE-002,Smartphone X,2,58813,Gold,2026-06-29,2026-06-30
ORD-1008,CUST-0008,Tacloban City,Visayas,SKU-TABLET-003,Tablet Air,2,42439,Silver,2026-07-05,2026-07-08
ORD-1009,CUST-0009,Manila,Metro Manila,SKU-PRINTER-009,Office Printer,1,16242,Silver,2026-07-01,2026-07-03
ORD-1010,CUST-0010,General Santos,Mindanao,SKU-LAPTOP-001,Laptop Pro 14,3,143420,Bronze,2026-07-02,2026-07-05
ORD-1011,CUST-0011,San Fernando,Luzon,SKU-KEYBOARD-007,Mechanical Keyboard,5,33384,Gold,2026-07-02,2026-07-06
ORD-1012,CUST-0012,Cebu City,Visayas,SKU-KEYBOARD-007,Mechanical Keyboard,1,6221,Gold,2026-07-04,2026-07-08
ORD-1013,CUST-0013,Bacolod City,Visayas,SKU-MONITOR-005,27-inch Monitor,1,15393,Gold,2026-07-05,2026-07-09
ORD-1014,CUST-0014,Bacolod City,Visayas,SKU-HEADSET-004,Wireless Headset,3,14354,Silver,2026-07-03,2026-07-07
ORD-1015,CUST-0015,Bacolod City,Visayas,SKU-LAPTOP-001,Laptop Pro 14,2,103266,Silver,2026-07-03,2026-07-07
ORD-1016,CUST-0016,Tacloban City,Visayas,SKU-CAMERA-006,Action Camera,2,75269,Silver,2026-07-04,2026-07-09
ORD-1017,CUST-0017,Tacloban City,Visayas,SKU-TABLET-003,Tablet Air,2,44285,Platinum,2026-06-29,2026-06-30
ORD-1018,CUST-0018,Cagayan de Oro,Mindanao,SKU-KEYBOARD-007,Mechanical Keyboard,2,12086,Silver,2026-07-05,2026-07-09
ORD-1019,CUST-0019,Makati City,Metro Manila,SKU-SSD-012,External SSD,1,9399,Silver,2026-07-02,2026-07-04
ORD-1020,CUST-0020,Cagayan de Oro,Mindanao,SKU-ROUTER-010,WiFi Router,1,8811,Gold,2026-07-03,2026-07-06
ORD-1021,CUST-0021,Cagayan de Oro,Mindanao,SKU-KEYBOARD-007,Mechanical Keyboard,2,13295,Silver,2026-07-02,2026-07-04
ORD-1022,CUST-0022,Cebu City,Visayas,SKU-ROUTER-010,WiFi Router,2,16614,Silver,2026-06-29,2026-07-01
